plot_id,panel,series,x_index,x_value,y,yerr,unit,p_value,stars
9ch_subjects,acc,fbcca,0,1,94.16666666666666,3.0276503540974895,percent,0.10193947882985853,
9ch_subjects,acc,fbcca,1,2,96.66666666666667,3.763863263545405,percent,0.09251500555042752,
9ch_subjects,acc,fbcca,2,3,99.58333333333333,1.0206207261596583,percent,,
9ch_subjects,acc,fbcca,3,4,99.16666666666667,1.2909944487358067,percent,,
9ch_subjects,acc,fbcca,4,5,99.58333333333333,1.0206207261596585,percent,,
9ch_subjects,acc,fbcca,5,6,97.91666666666666,2.45798020062544,percent,0.695192295931711,
9ch_subjects,acc,fbcca,6,7,90.41666666666669,4.306003560921271,percent,0.5300916186704541,
9ch_subjects,acc,fbcca,7,8,81.25,3.7914377220257736,percent,0.5416045607931204,
9ch_subjects,acc,fbcca,8,9,89.58333333333334,3.679900360969939,percent,0.695192295931711,
9ch_subjects,acc,fbcca,9,10,97.5,2.738612787525829,percent,0.07558681842161245,
9ch_subjects,acc,fbcca,10,11,54.58333333333334,11.33762173767791,percent,0.7711118563588937,
9ch_subjects,acc,fbcca,11,12,100.0,0.0,percent,,
9ch_subjects,acc,fbcca,12,13,95.41666666666667,4.306003560921269,percent,0.10193947882985835,
9ch_subjects,acc,fbcca,13,14,97.08333333333331,2.45798020062544,percent,0.17468781426411922,
9ch_subjects,acc,fbcca,14,15,88.33333333333333,11.583033569262701,percent,0.36321746764912133,
9ch_subjects,acc,fbcca,15,16,74.16666666666666,7.852812659593164,percent,0.14123477317626154,
9ch_subjects,acc,fbcca,16,17,88.75,4.937104414532873,percent,0.6108811833962544,
9ch_subjects,acc,fbcca,17,18,75.83333333333333,10.206207261596576,percent,0.012676602478014458,*
9ch_subjects,acc,fbcca,18,19,57.08333333333333,10.887684173719713,percent,0.8158714843641036,
9ch_subjects,acc,fbcca,19,20,97.91666666666666,1.8819316317727042,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,20,21,84.16666666666669,6.831300510639733,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,21,22,99.16666666666667,1.290994448735807,percent,,
9ch_subjects,acc,fbcca,22,23,97.08333333333333,3.6799003609699334,percent,0.17468781426411922,
9ch_subjects,acc,fbcca,23,24,97.50000000000001,3.1622776601683786,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,24,25,99.16666666666666,1.290994448735807,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,25,26,97.5,0.0,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,26,27,99.58333333333333,1.0206207261596585,percent,,
9ch_subjects,acc,fbcca,27,28,97.91666666666666,1.8819316317727042,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,28,29,77.91666666666667,5.571504883482261,percent,0.10193947882985853,
9ch_subjects,acc,fbcca,29,30,92.91666666666667,7.812916655556146,percent,0.17468781426411922,
9ch_subjects,acc,fbcca,30,31,100.0,0.0,percent,,
9ch_subjects,acc,fbcca,31,32,99.58333333333333,1.0206207261596585,percent,1.0,
9ch_subjects,acc,fbcca,32,33,55.83333333333332,8.3166499665831,percent,0.39387970597647637,
9ch_subjects,acc,fbcca,33,34,99.16666666666667,1.290994448735807,percent,0.36321746764912244,
9ch_subjects,acc,fbcca,34,35,94.99999999999999,5.7008771254956905,percent,0.4650226382607575,
9ch_subjects,acc,phase,0,1,95.83333333333334,2.5819888974716108,percent,0.10193947882985853,
9ch_subjects,acc,phase,1,2,94.58333333333331,4.851975542669877,percent,0.09251500555042752,
9ch_subjects,acc,phase,2,3,99.58333333333333,1.0206207261596583,percent,,
9ch_subjects,acc,phase,3,4,99.16666666666667,1.2909944487358067,percent,,
9ch_subjects,acc,phase,4,5,99.58333333333333,1.0206207261596585,percent,,
9ch_subjects,acc,phase,5,6,98.33333333333333,2.041241452319317,percent,0.695192295931711,
9ch_subjects,acc,phase,6,7,89.58333333333334,5.103103630798289,percent,0.5300916186704541,
9ch_subjects,acc,phase,7,8,82.49999999999999,4.472135954999579,percent,0.5416045607931204,
9ch_subjects,acc,phase,8,9,89.99999999999999,3.8729833462074206,percent,0.695192295931711,
9ch_subjects,acc,phase,9,10,98.75,2.0916500663351907,percent,0.07558681842161245,
9ch_subjects,acc,phase,10,11,55.41666666666667,13.911925340033516,percent,0.7711118563588937,
9ch_subjects,acc,phase,11,12,100.0,0.0,percent,,
9ch_subjects,acc,phase,12,13,93.75000000000001,5.419870847169699,percent,0.10193947882985835,
9ch_subjects,acc,phase,13,14,97.91666666666666,2.45798020062544,percent,0.17468781426411922,
9ch_subjects,acc,phase,14,15,87.5,12.549900398011133,percent,0.36321746764912133,
9ch_subjects,acc,phase,15,16,72.08333333333333,8.575643804791957,percent,0.14123477317626154,
9ch_subjects,acc,phase,16,17,88.33333333333334,3.4156502553198695,percent,0.6108811833962544,
9ch_subjects,acc,phase,17,18,78.75,10.458250331675945,percent,0.012676602478014458,*
9ch_subjects,acc,phase,18,19,56.25,10.69462481810372,percent,0.8158714843641036,
9ch_subjects,acc,phase,19,20,97.5,1.5811388300841909,percent,0.36321746764912244,
9ch_subjects,acc,phase,20,21,82.5,6.519202405202649,percent,0.36321746764912244,
9ch_subjects,acc,phase,21,22,99.16666666666667,1.290994448735807,percent,,
9ch_subjects,acc,phase,22,23,96.25,3.446012188022554,percent,0.17468781426411922,
9ch_subjects,acc,phase,23,24,97.91666666666666,2.9226129861250287,percent,0.36321746764912244,
9ch_subjects,acc,phase,24,25,99.58333333333333,1.0206207261596585,percent,0.36321746764912244,
9ch_subjects,acc,phase,25,26,97.91666666666666,1.0206207261596585,percent,0.36321746764912244,
9ch_subjects,acc,phase,26,27,99.58333333333333,1.0206207261596585,percent,,
9ch_subjects,acc,phase,27,28,97.5,1.5811388300841909,percent,0.36321746764912244,
9ch_subjects,acc,phase,28,29,74.58333333333333,4.306003560921271,percent,0.10193947882985853,
9ch_subjects,acc,phase,29,30,93.75,7.026734661277595,percent,0.17468781426411922,
9ch_subjects,acc,phase,30,31,100.0,0.0,percent,,
9ch_subjects,acc,phase,31,32,99.58333333333333,1.0206207261596583,percent,1.0,
9ch_subjects,acc,phase,32,33,54.166666666666664,5.84522597225006,percent,0.39387970597647637,
9ch_subjects,acc,phase,33,34,99.58333333333333,1.0206207261596583,percent,0.36321746764912244,
9ch_subjects,acc,phase,34,35,95.83333333333334,4.377975178854566,percent,0.4650226382607575,
9ch_subjects,itr,fbcca,0,1,107.03801007235016,7.130474191522931,bits_per_min,0.10533008441752857,
9ch_subjects,itr,fbcca,1,2,112.80974890853464,8.558251538076348,bits_per_min,0.10272756060397481,
9ch_subjects,itr,fbcca,2,3,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,fbcca,3,4,118.67415377040804,3.530235903436259,bits_per_min,,
9ch_subjects,itr,fbcca,4,5,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,fbcca,5,6,115.64181229635534,6.176511635511783,bits_per_min,0.7276387838594387,
9ch_subjects,itr,fbcca,6,7,99.38783198486506,8.392187765030728,bits_per_min,0.5633419627009499,
9ch_subjects,itr,fbcca,7,8,82.74083790484107,6.476017724413482,bits_per_min,0.5238317292638826,
9ch_subjects,itr,fbcca,8,9,97.67644449671855,6.930984137940147,bits_per_min,0.6754936926657501,
9ch_subjects,itr,fbcca,9,10,114.57751476469065,6.498673076095129,bits_per_min,0.0786578192107709,
9ch_subjects,itr,fbcca,10,11,44.52998621021475,14.74260122728445,bits_per_min,0.6973469254044449,
9ch_subjects,itr,fbcca,11,12,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,fbcca,12,13,110.12046721893223,9.862433093521611,bits_per_min,0.09531986640573256,
9ch_subjects,itr,fbcca,13,14,113.55595219007098,6.137301334243969,bits_per_min,0.17696191439534711,
9ch_subjects,itr,fbcca,14,15,96.54282713890501,19.417101971839294,bits_per_min,0.436289680542616,
9ch_subjects,itr,fbcca,15,16,71.64067736489987,12.28480341573968,bits_per_min,0.13749824902642027,
9ch_subjects,itr,fbcca,16,17,96.2312340743235,9.115206706863829,bits_per_min,0.5353976709815562,
9ch_subjects,itr,fbcca,17,18,74.53565395302002,15.44946821282257,bits_per_min,0.018577364889601204,*
9ch_subjects,itr,fbcca,18,19,47.67046077228619,14.045028306241003,bits_per_min,0.8004003246439458,
9ch_subjects,itr,fbcca,19,20,115.44891492560767,4.797275372117267,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,20,21,88.06274338306251,11.616494963283378,bits_per_min,0.31905952813658883,
9ch_subjects,itr,fbcca,21,22,118.67415377040804,3.530235903436259,bits_per_min,,
9ch_subjects,itr,fbcca,22,23,113.89901197452127,8.693188227238103,bits_per_min,0.17696191439534711,
9ch_subjects,itr,fbcca,23,24,114.77041213543832,7.600764083790344,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,24,25,118.67415377040804,3.530235903436259,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,25,26,114.116638816344,0.0,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,26,27,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,fbcca,27,28,115.44891492560767,4.797275372117267,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,28,29,77.36280017622128,8.995749449641702,bits_per_min,0.10213888398636535,
9ch_subjects,itr,fbcca,29,30,105.07344129379636,14.695562004785481,bits_per_min,0.18180458587563406,
9ch_subjects,itr,fbcca,30,31,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,fbcca,31,32,119.81353250892404,2.7908965331402045,bits_per_min,1.0,
9ch_subjects,itr,fbcca,32,33,45.7855267151088,10.928479723667564,bits_per_min,0.37089829288565307,
9ch_subjects,itr,fbcca,33,34,118.67415377040804,3.530235903436259,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,34,35,109.45734153867414,12.178201815664066,bits_per_min,0.5782433679850756,
9ch_subjects,itr,phase,0,1,110.59869192286959,6.135098850938404,bits_per_min,0.10533008441752857,
9ch_subjects,itr,phase,1,2,108.2482348155143,10.437421849495182,bits_per_min,0.10272756060397481,
9ch_subjects,itr,phase,2,3,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,phase,3,4,118.67415377040804,3.530235903436259,bits_per_min,,
9ch_subjects,itr,phase,4,5,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,phase,5,6,116.58829366412368,5.211509712172663,bits_per_min,0.7276387838594387,
9ch_subjects,itr,phase,6,7,97.91696739343588,10.021095513254314,bits_per_min,0.5633419627009499,
9ch_subjects,itr,phase,7,8,84.91071641092184,7.5315682388846925,bits_per_min,0.5238317292638826,
9ch_subjects,itr,phase,8,9,98.48630902800083,7.160124495853655,bits_per_min,0.6754936926657501,
9ch_subjects,itr,phase,9,10,117.7276724026397,5.309442021600717,bits_per_min,0.0786578192107709,
9ch_subjects,itr,phase,10,11,45.961122224152746,18.093860530047355,bits_per_min,0.6973469254044449,
9ch_subjects,itr,phase,11,12,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,phase,12,13,106.74844753695726,12.025540597926849,bits_per_min,0.09531986640573256,
9ch_subjects,itr,phase,13,14,115.64181229635534,6.176511635511783,bits_per_min,0.17696191439534711,
9ch_subjects,itr,phase,14,15,95.18220248700008,20.7900957128959,bits_per_min,0.436289680542616,
9ch_subjects,itr,phase,15,16,68.5055337741159,12.937361012320702,bits_per_min,0.13749824902642027,
9ch_subjects,itr,phase,16,17,95.27780137636285,6.2932380650022175,bits_per_min,0.5353976709815562,
9ch_subjects,itr,phase,17,18,79.32072800420987,16.391414839038458,bits_per_min,0.018577364889601204,*
9ch_subjects,itr,phase,18,19,46.57582842922046,13.935286170552224,bits_per_min,0.8004003246439458,
9ch_subjects,itr,phase,19,20,114.30953618709167,3.968907548469494,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,20,21,85.12401157442936,11.024760741843494,bits_per_min,0.31905952813658883,
9ch_subjects,itr,phase,21,22,118.67415377040804,3.530235903436259,bits_per_min,,
9ch_subjects,itr,phase,22,23,111.81315186823691,8.146417792073509,bits_per_min,0.17696191439534711,
9ch_subjects,itr,phase,23,24,115.71689350320666,6.98294964844533,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,24,25,119.81353250892404,2.7908965331402045,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,25,26,115.25601755486001,2.7908965331402045,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,26,27,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,phase,27,28,114.30953618709167,3.968907548469494,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,28,29,71.96730572695009,6.632980824547288,bits_per_min,0.10213888398636535,
9ch_subjects,itr,phase,29,30,106.6994673191299,13.546631259686363,bits_per_min,0.18180458587563406,
9ch_subjects,itr,phase,30,31,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,phase,31,32,119.81353250892404,2.7908965331402045,bits_per_min,1.0,
9ch_subjects,itr,phase,32,33,43.47208157516516,7.311672615160731,bits_per_min,0.37089829288565307,
9ch_subjects,itr,phase,33,34,119.81353250892404,2.7908965331402045,bits_per_min,0.36321746764912244,
9ch_subjects,itr,phase,34,35,110.88740083258732,9.35962497245129,bits_per_min,0.5782433679850756,
